,number,value,datetime_start,datetime_complete,duration,params_hidden_dim,params_learning_rate,user_attrs_pruned,user_attrs_training_time,state
112,112,0.2699465810304967,2025-02-04 16:44:03.021870,2025-02-04 16:45:37.183340,0 days 00:01:34.161470,64.0,0.0002777859513870946,,94.11363196372986,COMPLETE
113,113,0.2998518867549164,2025-02-04 16:45:37.183571,2025-02-04 16:46:28.731091,0 days 00:00:51.547520,,0.0009815978816541812,,51.506245374679565,COMPLETE
114,114,0.2703116800377478,2025-02-04 16:46:28.731319,2025-02-04 16:47:57.934239,0 days 00:01:29.202920,64.0,0.00022894471349195312,,89.15523672103882,COMPLETE
115,115,0.269697165344534,2025-02-04 16:47:57.934469,2025-02-04 16:49:15.052594,0 days 00:01:17.118125,64.0,0.00022743404899556546,,77.07049369812012,COMPLETE
116,116,0.2695896030830984,2025-02-04 16:49:15.052822,2025-02-04 16:50:34.206818,0 days 00:01:19.153996,64.0,0.00033072765076179103,,79.10303974151611,COMPLETE
117,117,0.2767164356728472,2025-02-04 16:50:34.207065,2025-02-04 16:52:36.174287,0 days 00:02:01.967222,256.0,0.0009913895722063488,,121.91639304161072,COMPLETE
118,118,0.26916568230510174,2025-02-04 16:52:36.174518,2025-02-04 16:53:56.302123,0 days 00:01:20.127605,64.0,0.00021273797297344515,,80.07663869857788,COMPLETE
119,119,0.268174254023178,2025-02-04 16:53:56.302356,2025-02-04 16:54:53.181833,0 days 00:00:56.879477,64.0,0.0002958132675300536,,56.82857275009155,COMPLETE
120,120,0.2703537918926839,2025-02-04 16:54:53.182078,2025-02-04 16:56:09.952080,0 days 00:01:16.770002,64.0,0.0001153469444469704,,76.71911263465881,COMPLETE
121,121,0.27174126445392915,2025-02-04 16:56:09.952315,2025-02-04 16:57:25.838723,0 days 00:01:15.886408,64.0,0.0003482502832544921,,75.83553957939148,COMPLETE
122,122,0.27072868792995936,2025-02-04 16:57:25.838955,2025-02-04 16:59:03.158638,0 days 00:01:37.319683,128.0,0.00026996311092290635,,97.26854681968689,COMPLETE
123,123,0.27036586057188033,2025-02-04 16:59:03.158874,2025-02-04 17:00:17.683851,0 days 00:01:14.524977,64.0,0.000294620811268921,,74.47411942481995,COMPLETE
124,124,0.2693610487581976,2025-02-04 17:00:17.684091,2025-02-04 17:01:14.186371,0 days 00:00:56.502280,64.0,0.00023015309180656547,,56.45128393173218,COMPLETE
125,125,0.27051417675323713,2025-02-04 17:01:14.186615,2025-02-04 17:03:21.865934,0 days 00:02:07.679319,64.0,0.0002125378536982602,,127.62836337089539,COMPLETE
126,126,0.270565531198419,2025-02-04 17:03:21.866172,2025-02-04 17:04:45.848338,0 days 00:01:23.982166,1024.0,0.00026215749806269184,,83.93101239204407,COMPLETE
127,127,0.27238686394532524,2025-02-04 17:04:45.848572,2025-02-04 17:06:29.704880,0 days 00:01:43.856308,64.0,0.0003632269899588099,,103.80517983436584,COMPLETE
