,number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_pruned,user_attrs_training_time,state
40,40,0.24984985600314644,2025-01-29 01:51:18.280514,2025-01-29 02:01:33.245840,0 days 00:10:14.965326,0.7621140191044236,1.92929099546349e-06,0.008262738750703685,8,6.947491727645135,7.771436839521087e-07,0.00010984225769525325,0.6680900191163596,,614.0574581623077,COMPLETE
41,41,0.2466785144255014,2025-01-29 02:01:33.246553,2025-01-29 02:20:04.661639,0 days 00:18:31.415086,0.8224398883512186,6.203156022842809e-06,0.009501018661670973,10,4.366434172349698,3.4184535912461464e-06,7.466629004866954e-07,0.6601532412132316,,1109.7189722061157,COMPLETE
42,42,0.24746985416538428,2025-01-29 02:20:04.662094,2025-01-29 02:39:15.735354,0 days 00:19:11.073260,0.9131540573402308,1.7968997321760337e-08,0.012242144041621758,10,0.878861184393516,1.9537027985648387e-08,0.018076949738928615,0.631262622171087,,1149.320648908615,COMPLETE
43,43,0.24850936865643725,2025-01-29 02:39:15.735814,2025-01-29 02:49:27.978295,0 days 00:10:12.242481,0.913173510144924,1.596266535268674e-08,0.057139392526370056,10,1.8162545694514933,1.8842944478116043e-08,0.16320957994548196,0.7524413814586539,,611.490837097168,COMPLETE
44,44,0.5472726398391149,2025-01-29 02:49:27.978779,2025-01-29 02:58:12.865400,0 days 00:08:44.886621,0.795580969953276,2.271036665437476e-05,0.00011566163550659303,7,0.006043368968347446,8.99012471929717e-08,0.027802863685527777,0.7840550415003977,,524.1307978630066,COMPLETE
45,45,0.24533565795653764,2025-01-29 02:58:12.866002,2025-01-29 03:14:38.805514,0 days 00:16:25.939512,0.9257403341857611,3.5727890090802002e-06,0.022199795833469347,10,6.681706150792793,2.8622870012784135e-08,3.323555436786756e-05,0.9029423120903125,,984.3871397972107,COMPLETE
46,46,0.24598158173312798,2025-01-29 03:14:38.805985,2025-01-29 03:25:53.647851,0 days 00:11:14.841866,0.9609950562338221,2.7378730957202533e-07,0.03846609446830713,9,8.023070431348938,4.820041464051694e-07,0.0011689569262527688,0.965037660438305,,673.7630417346954,COMPLETE
47,47,0.24623514009319594,2025-01-29 03:25:53.648343,2025-01-29 03:46:08.576807,0 days 00:20:14.928464,0.9066049409403741,2.3254478580665014e-06,0.00964666513990957,10,5.058702925873548,1.294515810010422e-08,0.00020513599192492366,0.9391175837253853,,1213.1664474010468,COMPLETE
48,48,0.24891005992821258,2025-01-29 03:46:08.577293,2025-01-29 03:50:47.439904,0 days 00:04:38.862611,0.8944441821690449,0.00022860860151162641,0.06956428918569928,6,0.008432071512848681,5.79016427996421e-05,0.02436648364353058,0.8160879142209521,,278.1333682537079,COMPLETE
49,49,0.298305181935887,2025-01-29 03:50:47.440569,2025-01-29 03:54:14.484420,0 days 00:03:27.043851,0.5857273194746822,1.8406572603759738e-06,0.0027142834339522904,3,0.002568684477651497,1.0583897442922423e-07,2.1546965122035218e-05,0.7662661596338725,,206.49962496757507,COMPLETE
50,50,0.2484847913320748,2025-01-29 03:54:14.484895,2025-01-29 04:00:34.989491,0 days 00:06:20.504596,0.9618117379095681,9.708612593702609e-05,0.07804476016927459,9,2.21893506609467,0.004250527261113016,0.659517281124584,0.8076490948657562,,379.96231389045715,COMPLETE
51,51,0.2465330677069324,2025-01-29 04:00:34.990176,2025-01-29 04:18:48.804279,0 days 00:18:13.814103,0.962451274314079,7.613988345065998e-06,0.01583975382433594,10,5.269459277439105,0.00011057787339953204,4.3473806643659246e-05,0.9984090850421705,,1092.204707622528,COMPLETE
52,52,0.2471251511569259,2025-01-29 04:18:48.804720,2025-01-29 04:27:54.980832,0 days 00:09:06.176112,0.9900902117353455,1.2225283050973385e-06,0.021020835594793053,8,5.581876010429924,1.1456547803573469e-07,0.00011698465156734944,0.9835171943727044,,545.2588310241699,COMPLETE
53,53,0.24626919805436853,2025-01-29 04:27:54.981566,2025-01-29 04:46:18.020447,0 days 00:18:23.038881,0.8127215891732354,5.5444395428014154e-06,0.013853300440907022,10,1.1671221433634336,7.751135165400508e-08,6.064986699687947e-06,0.8075322104683698,,1101.2664306163788,COMPLETE
54,54,0.25023121420653743,2025-01-29 04:46:18.020922,2025-01-29 04:51:21.027413,0 days 00:05:03.006491,0.9699556107393694,1.4367543516555623e-07,0.09110108369822398,9,1.860176440103409,1.6794869745630953e-05,0.0001724318962659918,0.872756941003797,,302.5570077896118,COMPLETE
