,number,value,datetime_start,datetime_complete,duration,params_dropout,params_learning_rate,params_num_layers,params_rnn_type,params_units,user_attrs_pruned,user_attrs_training_time,state
55,55,0.3314399237427393,2025-02-03 18:19:53.586121,2025-02-03 18:35:00.941100,0 days 00:15:07.354979,0.30000000000000004,0.00011659965743621812,1,GRU,32,,906.2728846073151,COMPLETE
56,56,0.3406675304056204,2025-02-03 18:35:00.941355,2025-02-03 18:49:18.674293,0 days 00:14:17.732938,0.5,0.0001521641916221909,1,GRU,32,,856.6502523422241,COMPLETE
57,57,0.35324094817635904,2025-02-03 18:49:18.674553,2025-02-03 18:59:46.071311,0 days 00:10:27.396758,0.4,0.00018432365235934847,1,LSTM,64,,626.2821810245514,COMPLETE
58,58,0.41598803784203925,2025-02-03 18:59:46.071578,2025-02-03 19:09:38.952193,0 days 00:09:52.880615,0.5,0.0013570501093132627,1,LSTM,128,,591.3153884410858,COMPLETE
59,59,0.3496702044986541,2025-02-03 19:09:38.952451,2025-02-03 19:19:34.365984,0 days 00:09:55.413533,0.5,0.00038515763738150967,1,LSTM,32,,594.2943279743195,COMPLETE
60,60,0.3274128512356902,2025-02-03 19:19:34.366248,2025-02-03 19:33:28.961309,0 days 00:13:54.595061,0.4,0.00010496665789553654,1,GRU,32,,833.5121765136719,COMPLETE
61,61,0.3542659856196619,2025-02-03 19:33:28.961575,2025-02-03 19:45:12.029203,0 days 00:11:43.067628,0.4,0.00014613439830013527,1,GRU,64,,702.0158045291901,COMPLETE
62,62,0.33196264487565247,2025-02-03 19:45:12.029470,2025-02-03 20:02:04.997106,0 days 00:16:52.967636,0.4,0.00010378883529130013,1,GRU,32,,1011.9145214557648,COMPLETE
63,63,0.7954013554144433,2025-02-03 20:02:04.997367,2025-02-03 20:10:32.935915,0 days 00:08:27.938548,0.2,0.007556540238610602,1,GRU,32,,506.88615369796753,COMPLETE
64,64,0.3264543022457228,2025-02-03 20:10:32.936194,2025-02-03 20:26:51.947965,0 days 00:16:19.011771,0.4,0.0001011177758677776,1,GRU,32,,977.9338262081146,COMPLETE
65,65,0.33018230678532196,2025-02-03 20:26:51.948241,2025-02-03 20:36:10.331025,0 days 00:09:18.382784,0.30000000000000004,0.000346457122809256,1,GRU,32,,557.301736831665,COMPLETE
66,66,0.3527928655921639,2025-02-03 20:36:10.331304,2025-02-03 20:53:38.424065,0 days 00:17:28.092761,0.30000000000000004,0.00013490143445919167,1,LSTM,32,,1046.9696679115295,COMPLETE
67,67,0.91972089932498,2025-02-03 20:53:38.424327,2025-02-03 21:05:07.218657,0 days 00:11:28.794330,0.5,0.001641631736311266,3,GRU,64,,687.4355220794678,COMPLETE
68,68,0.5269558588140423,2025-02-03 21:05:07.218923,2025-02-03 21:12:54.351325,0 days 00:07:47.132402,0.30000000000000004,0.0018515207247038735,1,GRU,128,,465.9964029788971,COMPLETE
69,69,0.3322750455143167,2025-02-03 21:12:54.351597,2025-02-03 21:26:59.578236,0 days 00:14:05.226639,0.5,0.00011224678772691862,1,GRU,32,,844.1419897079468,COMPLETE
70,70,0.37157139683102863,2025-02-03 21:26:59.578510,2025-02-03 21:36:56.083714,0 days 00:09:56.505204,0.5,0.00027641723485487653,2,GRU,32,,595.3533234596252,COMPLETE
71,71,0.36201770323502025,2025-02-03 21:36:56.083977,2025-02-03 21:46:51.426713,0 days 00:09:55.342736,0.2,0.0008018970856744294,1,GRU,32,,594.2573404312134,COMPLETE
72,72,0.3333858484203165,2025-02-03 21:46:51.426988,2025-02-03 21:56:13.386266,0 days 00:09:21.959278,0.30000000000000004,0.000238142792627259,1,GRU,32,,560.8748564720154,COMPLETE
