,number,value,datetime_start,datetime_complete,duration,params_d_ff,params_d_model,params_decomp_method,params_down_sampling_layers,params_down_sampling_window,params_dropout,params_e_layers,params_learning_rate,params_moving_avg,params_top_k,user_attrs_pruned,user_attrs_training_time,state
68,68,0.26488321046669894,2025-01-28 22:17:16.363029,2025-01-28 22:27:25.880716,0 days 00:10:09.517687,112,32,dft_decomp,2,2,0.5,1,0.00048503028833006567,19,5,,609.3587558269501,COMPLETE
69,69,0.26496958840992896,2025-01-28 22:27:25.881419,2025-01-28 22:33:43.156961,0 days 00:06:17.275542,16,64,dft_decomp,1,2,0.4,1,0.00029201321064943435,17,5,,377.0976605415344,COMPLETE
70,70,0.26632216116517876,2025-01-28 22:27:27.860308,2025-01-28 22:38:54.141218,0 days 00:11:26.280910,32,48,dft_decomp,1,2,0.4,2,0.0005122236011137157,17,5,,686.0963351726532,COMPLETE
71,71,0.27263565441452453,2025-01-28 22:33:43.157703,2025-01-28 22:45:03.357955,0 days 00:11:20.200252,80,48,dft_decomp,2,2,0.4,2,0.00036779229626024656,15,5,,679.9550409317017,COMPLETE
72,72,0.2677952179028235,2025-01-28 22:38:54.141800,2025-01-28 22:49:23.111143,0 days 00:10:28.969343,96,48,dft_decomp,2,2,0.5,1,0.0013197010082841335,17,5,,628.7894716262817,COMPLETE
73,73,0.26698951862748294,2025-01-28 22:45:03.358640,2025-01-28 22:55:08.924229,0 days 00:10:05.565589,64,48,dft_decomp,1,4,0.5,1,0.00038243216854667557,11,4,,605.4313893318176,COMPLETE
74,74,0.26366943405210547,2025-01-28 22:49:23.111844,2025-01-28 22:56:47.569767,0 days 00:07:24.457923,16,64,moving_avg,1,2,0.4,1,0.0003546800851461538,11,4,,444.2886731624603,COMPLETE
75,75,0.2638468554893487,2025-01-28 22:55:08.924990,2025-01-28 23:06:27.057082,0 days 00:11:18.132092,32,64,moving_avg,1,2,0.4,1,0.000140718043080823,11,5,,677.9599802494049,COMPLETE
76,76,0.26583897969621034,2025-01-28 22:56:47.570467,2025-01-28 23:07:09.333112,0 days 00:10:21.762645,64,48,moving_avg,1,2,0.5,1,0.0004044892680324721,13,3,,621.6167371273041,COMPLETE
77,77,0.2711388959916686,2025-01-28 23:06:27.057842,2025-01-28 23:12:27.951014,0 days 00:06:00.893172,48,64,moving_avg,1,2,0.5,2,0.00016485114985822347,11,5,,360.6773133277893,COMPLETE
78,78,0.26535298246726924,2025-01-28 23:07:09.333805,2025-01-28 23:20:10.845251,0 days 00:13:01.511446,16,48,moving_avg,1,2,0.5,1,0.00023802741650609096,11,5,,781.3728179931641,COMPLETE
79,79,0.26361606722541464,2025-01-28 23:12:27.951591,2025-01-28 23:24:58.660025,0 days 00:12:30.708434,32,64,moving_avg,1,2,0.30000000000000004,1,0.00029405301519911753,11,4,,750.5500679016113,COMPLETE
80,80,0.2668705013580995,2025-01-28 23:20:10.845890,2025-01-28 23:27:04.148743,0 days 00:06:53.302853,16,64,moving_avg,1,2,0.4,1,0.0005805499287403618,11,3,,413.14617443084717,COMPLETE
81,81,0.2649922026628746,2025-01-28 23:24:58.660614,2025-01-28 23:34:47.901213,0 days 00:09:49.240599,16,64,moving_avg,1,2,0.4,1,0.0021700319331816793,11,4,,589.0861613750458,COMPLETE
82,82,0.2653349253777523,2025-01-28 23:27:04.149374,2025-01-28 23:34:25.136033,0 days 00:07:20.986659,16,64,moving_avg,1,2,0.30000000000000004,1,0.0002313372734716916,11,3,,440.82444643974304,COMPLETE
83,83,0.2659467375712567,2025-01-28 23:34:25.136600,2025-01-28 23:41:53.621095,0 days 00:07:28.484495,64,64,moving_avg,1,2,0.4,1,0.0008000923585089482,11,5,,448.32184052467346,COMPLETE
84,84,0.2762227211552611,2025-01-28 23:34:47.901796,2025-01-28 23:40:24.414662,0 days 00:05:36.512866,48,64,moving_avg,1,2,0.2,2,0.00042371907999010083,9,4,,336.2972779273987,COMPLETE
85,85,0.26973167613833415,2025-01-28 23:40:24.415312,2025-01-28 23:45:44.499808,0 days 00:05:20.084496,80,64,dft_decomp,1,4,0.30000000000000004,1,0.0013520802473885457,9,1,,319.9260845184326,COMPLETE
86,86,0.26782280663637953,2025-01-28 23:41:53.621671,2025-01-28 23:47:27.236262,0 days 00:05:33.614591,48,48,moving_avg,1,2,0.30000000000000004,1,0.00025487481757680507,15,5,,333.48146986961365,COMPLETE
87,87,0.2662202960808105,2025-01-28 23:45:44.500381,2025-01-28 23:51:11.469046,0 days 00:05:26.968665,16,64,moving_avg,1,3,0.30000000000000004,1,0.0002384164189395784,15,5,,326.8177673816681,COMPLETE
88,88,0.2690178195151717,2025-01-28 23:47:27.236824,2025-01-28 23:52:20.010494,0 days 00:04:52.773670,32,64,moving_avg,1,2,0.30000000000000004,1,0.0005626538434769056,15,5,,292.61170649528503,COMPLETE
89,89,0.2686419448999681,2025-01-28 23:51:11.469643,2025-01-29 00:00:00.710192,0 days 00:08:49.240549,32,64,moving_avg,1,2,0.4,1,0.00017855427638749244,9,5,,529.0796811580658,COMPLETE
90,90,0.2664945389583293,2025-01-28 23:52:20.011053,2025-01-28 23:57:55.433064,0 days 00:05:35.422011,64,64,dft_decomp,1,2,0.4,1,0.00016397836420403537,9,4,,335.2371621131897,COMPLETE
91,91,0.2638687019672632,2025-01-28 23:57:55.433611,2025-01-29 00:14:25.175431,0 days 00:16:29.741820,16,64,dft_decomp,2,2,0.30000000000000004,1,0.00014532977341650524,9,5,,989.5335690975189,COMPLETE
92,92,0.26600538611965324,2025-01-29 00:00:00.710748,2025-01-29 00:15:33.119826,0 days 00:15:32.409078,16,64,dft_decomp,2,2,0.4,1,0.00011987741022429506,13,5,,932.2019507884979,COMPLETE
93,93,0.27315078568530954,2025-01-29 00:14:25.176145,2025-01-29 00:21:11.022006,0 days 00:06:45.845861,128,32,moving_avg,1,2,0.0,3,0.00363140430898673,9,3,,405.6297688484192,COMPLETE
94,94,14.049342307243492,2025-01-29 00:15:33.120384,2025-01-29 00:28:02.537269,0 days 00:12:29.416885,80,16,moving_avg,2,4,0.0,3,0.00957158927848015,3,1,,749.274652004242,COMPLETE
95,95,0.26659300827388915,2025-01-29 00:21:11.022626,2025-01-29 00:34:27.287556,0 days 00:13:16.264930,16,64,dft_decomp,2,2,0.30000000000000004,2,0.00014367968237464335,9,5,,795.9979875087738,COMPLETE
96,96,0.2979311288273958,2025-01-29 00:28:02.537972,2025-01-29 00:36:35.056952,0 days 00:08:32.518980,128,16,dft_decomp,1,4,0.0,3,0.007522373916687725,9,5,,512.3414876461029,COMPLETE
97,97,0.26755038388884966,2025-01-29 00:34:27.288222,2025-01-29 00:41:16.062259,0 days 00:06:48.774037,16,64,dft_decomp,2,2,0.30000000000000004,1,0.00023196067147055203,9,5,,408.5686631202698,COMPLETE
98,98,0.2665326800511035,2025-01-29 00:36:35.057701,2025-01-29 00:46:54.078399,0 days 00:10:19.020698,32,48,dft_decomp,2,2,0.30000000000000004,1,0.00016679361305039242,9,4,,618.8414542675018,COMPLETE
99,99,0.26451563763924396,2025-01-29 00:41:16.062844,2025-01-29 00:59:00.812260,0 days 00:17:44.749416,80,16,dft_decomp,2,3,0.1,2,0.00012165371550877198,7,5,,1064.606600522995,COMPLETE
100,100,0.26961199843430556,2025-01-29 00:46:54.078985,2025-01-29 00:55:23.305086,0 days 00:08:29.226101,64,64,moving_avg,1,2,0.30000000000000004,1,0.00023281763297474886,5,3,,509.06257820129395,COMPLETE
101,101,0.27045916731586733,2025-01-29 00:55:23.305794,2025-01-29 01:04:58.782245,0 days 00:09:35.476451,48,64,dft_decomp,2,3,0.5,2,0.0006129936150888317,7,4,,575.2296521663666,COMPLETE
102,102,0.26737265168574254,2025-01-29 00:59:00.812850,2025-01-29 01:08:11.259212,0 days 00:09:10.446362,80,48,dft_decomp,1,4,0.4,1,0.0009100723493614216,13,3,,550.3108277320862,COMPLETE
103,103,0.26602802447437024,2025-01-29 01:04:58.782856,2025-01-29 01:09:23.999529,0 days 00:04:25.216673,16,48,dft_decomp,1,4,0.4,1,0.0005504441922867772,13,3,,265.093154668808,COMPLETE
104,104,0.26931201649713926,2025-01-29 01:08:11.259775,2025-01-29 01:14:56.356172,0 days 00:06:45.096397,48,48,dft_decomp,1,4,0.5,1,0.0008414889477720875,13,2,,404.96528816223145,COMPLETE
105,105,0.263227215985998,2025-01-29 01:09:24.000226,2025-01-29 01:20:18.906622,0 days 00:10:54.906396,96,16,dft_decomp,2,2,0.2,1,0.00032388139608007383,13,2,,654.775205373764,COMPLETE
106,106,0.2688233706268105,2025-01-29 01:14:56.356738,2025-01-29 01:24:57.428099,0 days 00:10:01.071361,32,48,dft_decomp,1,4,0.5,1,0.0015961761985875671,19,4,,600.9399621486664,COMPLETE
107,107,0.268017116672419,2025-01-29 01:20:18.907238,2025-01-29 01:29:04.267795,0 days 00:08:45.360557,80,16,dft_decomp,2,3,0.1,1,0.00034523344577553033,9,3,,525.251834154129,COMPLETE
108,108,0.2638638620192106,2025-01-29 01:24:57.428720,2025-01-29 01:41:26.244518,0 days 00:16:28.815798,96,16,moving_avg,2,2,0.2,1,0.0002756455193620671,11,2,,988.7006821632385,COMPLETE
109,109,0.2646809468780973,2025-01-29 01:29:04.268376,2025-01-29 01:44:40.924297,0 days 00:15:36.655921,112,16,dft_decomp,2,2,0.2,1,0.00030377168599342986,13,2,,936.5225522518158,COMPLETE
110,110,0.27214379837321984,2025-01-29 01:41:26.245105,2025-01-29 01:48:35.919202,0 days 00:07:09.674097,96,32,dft_decomp,2,2,0.1,1,0.00019921739663847463,11,1,,429.5216886997223,COMPLETE
111,111,0.2674456921768804,2025-01-29 01:44:40.925075,2025-01-29 01:55:41.388636,0 days 00:11:00.463561,48,48,dft_decomp,2,2,0.2,2,0.0004926458294593402,11,5,,660.231546163559,COMPLETE
112,112,0.26685508678228836,2025-01-29 01:48:35.919968,2025-01-29 01:59:49.834186,0 days 00:11:13.914218,96,16,moving_avg,2,2,0.30000000000000004,2,0.00017381497557624067,11,3,,673.7558479309082,COMPLETE
113,113,0.26549681000746633,2025-01-29 01:55:41.389264,2025-01-29 02:11:47.148444,0 days 00:16:05.759180,64,16,moving_avg,2,2,0.2,2,0.0001379938742703353,11,2,,965.6279056072235,COMPLETE
114,114,0.2667334428975159,2025-01-29 01:59:49.834904,2025-01-29 02:07:29.048307,0 days 00:07:39.213403,80,32,moving_avg,2,2,0.2,1,0.00044386784594768394,11,2,,459.06788754463196,COMPLETE
115,115,0.262736632260704,2025-01-29 02:07:29.049072,2025-01-29 02:26:58.466408,0 days 00:19:29.417336,64,16,moving_avg,2,2,0.1,1,0.000103804707465235,15,2,,1169.305412530899,COMPLETE
116,116,0.2634238296167432,2025-01-29 02:11:47.149065,2025-01-29 02:19:26.918503,0 days 00:07:39.769438,128,16,moving_avg,1,2,0.30000000000000004,1,0.00029390916446423056,15,2,,459.651305437088,COMPLETE
117,117,0.27033217208331367,2025-01-29 02:19:26.919086,2025-01-29 02:25:41.060742,0 days 00:06:14.141656,112,16,moving_avg,1,3,0.1,2,0.0006363907135186715,15,2,,374.00957012176514,COMPLETE
118,118,0.26643996727804536,2025-01-29 02:25:41.061337,2025-01-29 02:30:45.673084,0 days 00:05:04.611747,112,16,moving_avg,1,2,0.30000000000000004,1,0.0003314792810413376,13,4,,304.4888141155243,COMPLETE
119,119,0.2679132787591455,2025-01-29 02:26:58.467103,2025-01-29 02:33:07.705675,0 days 00:06:09.238572,128,16,moving_avg,2,2,0.0,1,0.00029295882425421367,15,2,,369.09807562828064,COMPLETE
120,120,0.26426246915668433,2025-01-29 02:30:45.673708,2025-01-29 02:44:39.887794,0 days 00:13:54.214086,80,16,moving_avg,2,2,0.1,1,0.00016975926715534663,15,3,,834.1051044464111,COMPLETE
